gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MSTRG.45,15.098375010612386,-1.1259172017081103,0.8189916229140976,-1.37476033967469,0.16920575752548284,0.3265314744072708
MSTRG.47|MAK16,842.3385775676494,-0.9401509506030301,0.14838778940127087,-6.335770310996885,2.3615838214755837e-10,1.9040269560646893e-09
MSTRG.46|LTE1,318.74609237145546,-0.28673681722981825,0.2042295552782232,-1.403992761180892,0.1603210051552233,0.323147026015997
MSTRG.48|PMT2,2380.599403270209,-1.2811481097610946,0.1116002726321677,-11.47979372759898,1.6667768872547827e-30,2.687677730698337e-29
MSTRG.49|FUN26,415.3923167332929,-0.36874061682816917,0.17561066783072316,-2.0997620553644856,0.035749777677255436,0.08868694846857599
MSTRG.50|CCR4,708.3863003174008,-0.10415228706875003,0.15278892830751153,-0.6816743086195834,0.4954449162098534,0.7023340020996823
MSTRG.51|ATS1,252.88302767515844,-0.27834212121396207,0.2187654909123194,-1.272331024665681,0.20325552985749562,0.369295258473478
MSTRG.53|FUN30,737.2382109022468,-0.890751721567682,0.16120888535155176,-5.525450533481452,3.2864116603732315e-08,2.0714827127214592e-07
MSTRG.54|LDS1,17.379340576316135,2.146035016859077,0.8817610548352885,2.4338056269223105,0.014941015956048081,0.039334511394493926
MSTRG.55|PSK1,899.3651864687705,0.7602703988989387,0.14906136052169822,5.100385480436222,3.38962421320035e-07,1.8219230145951882e-06
MSTRG.56,19.697081218145097,1.0171289074846181,0.7312032834574651,1.3910343819507558,0.16421500103059328,0.32590361742994667
MSTRG.58,1412.883861304777,0.7126124906994197,0.12907481698676665,5.520925826859626,3.372181160244236e-08,2.0714827127214592e-07
MSTRG.60|NTG1,337.3820305263717,0.26567390418969256,0.1998992009783143,1.329039350279913,0.18383498786039343,0.3387816204855822
MSTRG.61|SYN8,292.1095688905832,-0.25981311209077124,0.2082549386795858,-1.247572392463216,0.2121876939176428,0.37633343730861657
MSTRG.57|DEP1,521.3611187367318,0.14150533721323902,0.16593418631894982,0.8527798903430607,0.3937813777717277,0.5838827325580791
MSTRG.62|CYS3,2201.454588298938,-1.4344242980048452,0.11335431588042272,-12.654342155952994,1.0585855924282173e-36,2.2759590237206672e-35
MSTRG.63|SWC3,341.0931201107553,0.09987343072985677,0.19275437654059865,0.5181383298387575,0.6043617588330745,0.7814143709449193
MSTRG.64|MDM10,254.22072840694224,0.5590052469606971,0.21178172348992064,2.6395348840727606,0.008301987865615371,0.024339918969645068
MSTRG.65|SPO7,299.73949768845824,0.16458315282390723,0.20807472400833107,0.7909809978520866,0.4289550802000719,0.6217438802899918
MSTRG.66|FUN14,388.35686692623466,1.509054298872878,0.20791961044516336,7.257873827494859,3.9322207463168476e-13,3.901972894422103e-12
MSTRG.67|ERP2,675.8400432617989,-1.3313178499611427,0.155488523754308,-8.56216148829606,1.1077089521140262e-17,1.4289445482270938e-16
MSTRG.68|SSA1,12408.439588975529,2.0364648538246386,0.11066837963059004,18.401506018452046,1.2776398744886478e-75,4.1203885952258894e-74
MSTRG.70|EFB1,4829.488914515008,-0.7482059428324674,0.09888778378446564,-7.5662120658224685,3.842645580314683e-14,4.1308439988382844e-13
MSTRG.70,82.94096973590374,-0.6697852742378289,0.395812513568415,-1.6921781178655395,0.09061201742501573,0.19930341284985267
MSTRG.74|VPS8,482.48296400493206,0.086861571684948,0.16709067883283668,0.5198469016446293,0.6031702866022965,0.7814143709449193
MSTRG.75,210.80709803864121,-0.7539792451292208,0.2979739558338957,-2.5303528391237093,0.011394787372223197,0.03127505470248495
MSTRG.75|TFC3,630.9632335521386,0.40523268135885215,0.16371055658605393,2.475299637417352,0.01331244348521092,0.03577719186650435
MSTRG.72|NUP60,609.3114026036079,-0.6120123639041102,0.15686442660588196,-3.901536996923951,9.558384917913182e-05,0.0003977521465841292
MSTRG.73|ERP1,1263.7341843128065,-0.7715611607468851,0.12424181054420143,-6.210157090976932,5.293166042977112e-10,4.016578938494396e-09
MSTRG.71|SWD1,354.1755677822664,-0.675350069360164,0.18839108036856,-3.5848303860190134,0.0003372973385973935,0.0012797457846783458
MSTRG.77|RFA1,969.809282413087,0.2231330808479995,0.1320829841624369,1.6893400937518817,0.09115427409411866,0.19930341284985267
MSTRG.76|SEN34,259.07002983936945,-0.27353539798416293,0.21962656308728662,-1.2454568069503105,0.21296388312813186,0.37633343730861657
MSTRG.78,66.56198877069161,-0.6713515201959652,0.3928585558208839,-1.7088886324320112,0.0874715805755248,0.19930341284985267
MSTRG.79,18.749070281337417,-0.7829622960539154,0.727118755720233,-1.0768011275934806,0.28156912147921775,0.4484248971706061
MSTRG.80|BUD14,892.2940828609085,-0.19489263516034097,0.14189386361855644,-1.3735099615319342,0.16959386655261355,0.3265314744072708
