transcript_id,batch1,batch2,chem1,chem2
YDL019C_mRNA,0,0,0,0
YDL018C_mRNA,0,0,0,0
YDL017W_mRNA,0,0,0,0
YDL016C_mRNA,0,0,0,0
YDL015C_mRNA,0,0,0,0
YDL014W_mRNA,0,0,0,0
YDL013W_mRNA,0,0,0,0
YDL012C_mRNA,0,0,0,0
YDL011C_mRNA,0,0,0,0
YDL010W_mRNA,0,0,0,0
YDL009C_mRNA,0,0,0,0
YDL008W_mRNA,0,0,0,0
tT(AGU)D_tRNA,0,0,0,0
YDL007C-A_mRNA,0,0,0,0
tS(AGA)D1_tRNA,0,0,0,0
YDL007W_mRNA,0,0,0,0
YDL006W_mRNA,0,0,0,0
YDL005C_mRNA,0,0,0,0
YDL004W_mRNA,0,0,0,0
YDL003W_mRNA,0,0,0,0
YDL002C_mRNA,0,0,0,0
YDL001W_mRNA,0,0,0,0
YDR001C_mRNA,0,0,0,0
YDR002W_mRNA,0,0,0,0
YDR003W_mRNA,0,0,0,0
YDR003W-A_mRNA,0,0,0,0
YDR004W_mRNA,0,0,0,0
YDR005C_mRNA,0,0,0,0
YDR006C_mRNA,0,0,0,0
YDR007W_mRNA,0,0,0,0
YDR008C_mRNA,0,0,0,0
YDR009W_mRNA,0,0,0,0
YDR010C_mRNA,0,0,0,0
YDR011W_mRNA,0,0,0,0
YDR012W_mRNA,0,0,0,0
YDR013W_mRNA,0,0,0,0
YDR014W_mRNA,0,0,0,0
YDR014W-A_mRNA,0,0,0,0
YDR015C_mRNA,0,0,0,0
YDR016C_mRNA,0,0,0,0
YDR017C_mRNA,0,0,0,0
YDR018C_mRNA,0,0,0,0
YDR019C_mRNA,0,0,0,0
YDR020C_mRNA,0,0,0,0
YDR021W_mRNA,0,0,0,0
YDR022C_mRNA,0,0,0,0
tV(UAC)D_tRNA,0,0,0,0
YDR023W_mRNA,0,0,0,0
YDR024W_mRNA,0,0,0,0
YDR025W_mRNA,0,0,0,0
YDR026C_mRNA,0,0,0,0
YDR027C_mRNA,0,0,0,0
YDR028C_mRNA,0,0,0,0
YDR029W_mRNA,0,0,0,0
YDR030C_mRNA,0,0,0,0
YDR031W_mRNA,0,0,0,0
YDR032C_mRNA,0,0,0,0
YDR033W_mRNA,0,0,0,0
YDR034C_mRNA,0,0,0,0
YDR034C-D,0,1,0,1
YDR034C-C,0,0,0,0
tL(UAA)D_tRNA,0,0,0,0
YDR034C-A_mRNA,0,0,0,0
tQ(UUG)D1_tRNA,0,0,0,0
YDR034W-B_mRNA,0,0,0,0
YDR035W_mRNA,0,0,0,0
YDR036C_mRNA,0,0,0,0
YDR037W_mRNA,0,0,0,0
YDR038C_mRNA,0,0,0,0
YDR039C_mRNA,0,0,0,0
YDR040C_mRNA,0,0,0,0
YDR041W_mRNA,0,0,0,0
YDR042C_mRNA,0,0,0,0
snR47_snoRNA,0,0,0,0
YDR043C_mRNA,0,0,0,0
YDR044W_mRNA,0,0,0,0
YDR045C_mRNA,0,0,0,0
YDR046C_mRNA,0,0,0,0
YDR047W_mRNA,0,0,0,0
YDR048C_mRNA,0,0,0,0
YDR049W_mRNA,0,0,0,0
YDR050C_mRNA,0,0,0,0
YDR051C_mRNA,0,0,0,0
YDR052C_mRNA,0,0,0,0
YDR053W_mRNA,0,0,0,0
YDR054C_mRNA,0,0,0,0
YDR055W_mRNA,0,0,0,0
YDR056C_mRNA,0,0,0,0
YDR057W_mRNA,0,0,0,0
YDR058C_mRNA,0,0,0,0
tR(UCU)D_tRNA,0,0,0,0
tD(GUC)D_tRNA,0,0,0,0
YDR059C_mRNA,0,0,0,0
YDR060W_mRNA,0,0,0,0
YDR061W_mRNA,0,0,0,0
YDR062W_mRNA,0,0,0,0
YDR063W_mRNA,0,0,0,0
YDR064W_mRNA,0,0,0,0
YDR065W_mRNA,0,0,0,0
YDR066C_mRNA,0,0,0,0
YDR067C_mRNA,0,0,0,0
YDR068W_mRNA,0,0,0,0
YDR069C_mRNA,0,0,0,0
YDR070C_mRNA,0,0,0,0
YDR071C_mRNA,0,0,0,0
YDR072C_mRNA,0,0,0,0
YDR073W_mRNA,0,0,0,0
YDR074W_mRNA,0,0,0,0
YDR075W_mRNA,0,0,0,0
YDR076W_mRNA,0,0,0,0
YDR077W_mRNA,0,0,0,0
YDR078C_mRNA,0,0,0,0
YDR079W_mRNA,0,0,0,0
YDR079C-A_mRNA,0,0,0,0
YDR080W_mRNA,0,0,0,0
YDR081C_mRNA,0,0,0,0
YDR082W_mRNA,0,0,0,0
YDR083W_mRNA,0,0,0,0
YDR084C_mRNA,0,0,0,0
YDR085C_mRNA,0,0,0,0
YDR086C_mRNA,0,0,0,0
YDR087C_mRNA,0,0,0,0
YDR088C_mRNA,0,0,0,0
tR(ACG)D_tRNA,0,0,0,0
YDR089W_mRNA,0,0,0,0
YDR090C_mRNA,0,0,0,0
YDR091C_mRNA,0,0,0,0
YDR092W_mRNA,0,0,0,0
YDR093W_mRNA,0,0,0,0
YDR094W_mRNA,0,0,0,0
YDR095C_mRNA,0,0,0,0
YDR096W_mRNA,0,0,0,0
YDR097C_mRNA,0,0,0,0
YDR098C_mRNA,0,0,0,0
tQ(UUG)D2_tRNA,0,0,0,0
YDR099W_mRNA,0,0,0,0
YDR100W_mRNA,0,0,0,0
YDR101C_mRNA,0,0,0,0
YDR102C_mRNA,0,0,0,0
YDR103W_mRNA,0,0,0,0
YDR104C_mRNA,0,0,0,0
YDR105C_mRNA,0,0,0,0
